9	314
19	314
29	314
39	314
49	314
59	314
69	314
79	314
89	314
99	314
109	314
119	314
129	314
139	314
148	314
158	314
169	314
179	314
189	314
199	314
209	314
218	313
227	312
237	310
248	309
258	307
268	307
279	307
289	307
299	307
309	307
318	307
328	307
338	307
348	307
359	307
369	307
378	307
389	307
398	307
408	307
418	307
429	307
438	307
449	307
459	307
467	307
479	307
489	307
499	307
509	307
519	307
528	307
536	307
549	307
557	307
569	307
578	307
587	307
597	307
609	307
619	307
628	307
638	307
649	307
658	307
667	307
677	307
689	307
694	307
704	307
718	307
729	307
736	307
746	307
758	308
769	308
778	307
789	308
791	307
808	308
819	308
825	307
839	307
847	308
859	307
869	308
879	308
883	307
898	308
